"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"SDGIPV","PUBLISHED","2005-2017","","1","","AGE15-49","FMLE","17.8","17.80000","","","DHS, MICS, other national surveys . Based on 106 countries with a population coverage of 50 per cent"
"SDGIPV","PUBLISHED","2005-2017","","9","","AGE15-49","FMLE","34.7","34.70000","","","DHS, MICS, other national surveys . Based on 10 countries with a population coverage of 6 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","15","","AGE15-49","FMLE","14.0","14.00000","","","DHS, MICS, other national surveys . Based on one country with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","30","","AGE15-49","FMLE","14.7","14.70000","","","DHS, MICS, other national surveys . Based on one country with a population coverage of 0 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","34","","AGE15-49","FMLE","23.0","23.00000","","","DHS, MICS, other national surveys . Based on 5 countries with a population coverage of 84 per cent"
"SDGIPV","PUBLISHED","2005-2017","","35","","AGE15-49","FMLE","8.9","8.90000","","","DHS, MICS, other national surveys . Based on 6 countries with a population coverage of 43 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","62","","AGE15-49","FMLE","23.0","23.00000","","","DHS, MICS, other national surveys . Based on 7 countries with a population coverage of 81 per cent"
"SDGIPV","PUBLISHED","2005-2017","","143","","AGE15-49","FMLE","18.2","18.20000","","","DHS, MICS, other national surveys . Based on 2 countries with a population coverage of 21 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","145","","AGE15-49","FMLE","10.9","10.90000","","","DHS, MICS, other national surveys . Based on 5 countries with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","150","","AGE15-49","FMLE","6.1","6.10000","","","DHS, MICS, other national surveys . Based on 29 countries with a population coverage of 74 per cent"
"SDGIPV","PUBLISHED","2005-2017","","199","","AGE15-49","FMLE","24.3","24.30000","","","DHS, MICS, other national surveys . Based on 34 countries with a population coverage of 83 per cent"
"SDGIPV","PUBLISHED","2005-2017","","202","","AGE15-49","FMLE","21.5","21.50000","","","DHS, MICS, other national surveys . Based on 31 countries with a population coverage of 82 per cent"
"SDGIPV","PUBLISHED","2005-2017","","419","","AGE15-49","FMLE","11.8","11.80000","","","DHS, MICS, other national surveys . Based on 16 countries with a population coverage of 50 percent"
"SDGIPV","PUBLISHED","2005-2017","","432","","AGE15-49","FMLE","21.8","21.80000","","","DHS, MICS, other national surveys . Based on 22 countries with a population coverage of 80 per cent"
"SDGIPV","PUBLISHED","2005-2017","","513","","AGE15-49","FMLE","6.1","6.10000","","","DHS, MICS, other national surveys . Based on 29 countries with a population coverage of 49 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","543","","AGE15-49","FMLE","34.7","34.70000","","","DHS, MICS, other national surveys . Based on 10 countries with a population coverage of 20 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","722","","AGE15-49","FMLE","15.5","15.50000","","","DHS, MICS, other national surveys . Based on 19 countries with a population coverage of 51 per cent"
"SDGIPV","PUBLISHED","2005-2017","","747","","AGE15-49","FMLE","12.3","12.30000","","","DHS, MICS, other national surveys . Based on 6 countries with a population coverage of 41 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2005-2017","","753","","AGE15-49","FMLE","9.0","9.00000","","","DHS, MICS, other national surveys . Based on 7 countries with a population coverage of 13 per cent; caution is advised when interpreting this figure as it is not fully representative of the population in this region"
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE25-29","FMLE","48.6","48.60000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE15-19","FMLE","28.7","28.70000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE45-49","FMLE","51.9","51.90000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE15-49","FMLE","46.1","46.10000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE20-24","FMLE","41.1","41.10000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE35-39","FMLE","49.1","49.10000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE30-34","FMLE","49.3","49.30000","","","DHS "
"SDGIPV","PUBLISHED","2015","EMR","","AFG","AGE40-44","FMLE","45.2","45.20000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE35-39","FMLE","24.8","24.80000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE20-24","FMLE","32.9","32.90000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE40-44","FMLE","20.6","20.60000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE30-34","FMLE","25.1","25.10000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE15-19","FMLE","24.3","24.30000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE45-49","FMLE","18.1","18.10000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE15-49","FMLE","25.9","25.90000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","AFR","","AGO","AGE25-29","FMLE","28.0","28.00000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE30-34","FMLE","11.2","11.20000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE25-29","FMLE","11.7","11.70000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE15-19","FMLE","11.5","11.50000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE45-49","FMLE","8.5","8.50000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE40-44","FMLE","7.7","7.70000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE20-24","FMLE","9.9","9.90000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE15-49","FMLE","9.8","9.80000","","","DHS "
"SDGIPV","PUBLISHED","2006","EUR","","AZE","AGE35-39","FMLE","10.5","10.50000","","","DHS "
"SDGIPV","PUBLISHED","2012","EUR","","AUT","AGE18-49","FMLE","4.0","4.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE25-29","FMLE","32.2","32.20000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE45-49","FMLE","19.7","19.70000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE15-19","FMLE","28.4","28.40000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE40-44","FMLE","21.6","21.60000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE20-24","FMLE","35.4","35.40000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE35-39","FMLE","27.1","27.10000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE30-34","FMLE","30.8","30.80000","","","Violence against Women Survey 2015 "
"SDGIPV","PUBLISHED","2015","SEAR","","BGD","AGE15-49","FMLE","28.8","28.80000","","","Calculated by UNFPA based on available country data from the Violence against Women Survey 2015 UNECE methodology; women aged 15+"
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE15-19","FMLE","0.0","0.00000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE45-49","FMLE","5.6","5.60000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE25-29","FMLE","2.3","2.30000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE15-49","FMLE","3.5","3.50000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE20-24","FMLE","2.4","2.40000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE35-39","FMLE","4.7","4.70000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE40-44","FMLE","2.8","2.80000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","EUR","","ARM","AGE30-34","FMLE","3.3","3.30000","","","DHS "
"SDGIPV","PUBLISHED","2012","EUR","","BEL","AGE18-49","FMLE","8.0","8.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2016","AMR","","BOL","AGE15-49","FMLE","27.1","27.10000","","","PAHO 2018 publication Intimate Partner Violence against Women in the Americas: calculated by PAHO based on available country data from the Encuesta de Prevalencia y Caracteristicas de la Violencia contra las Mujeres 2016 ~ENDIREH methodology; women aged 15+; definition of sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2008","WPR","","SLB","AGE15-49","FMLE","41.8","41.80000","","","Solomon Islands Family Health and Safety Study: A study on violence against women and children Based on definition used in the WHO multi-country study on women’s health and domestic violence"
"SDGIPV","PUBLISHED","2012","EUR","","BGR","AGE18-49","FMLE","9.0","9.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE30-34","FMLE","11.7","11.70000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE15-49","FMLE","11.0","11.00000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE15-19","FMLE","21.8","21.80000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE40-44","FMLE","10.5","10.50000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE45-49","FMLE","5.8","5.80000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE35-39","FMLE","9.9","9.90000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE20-24","FMLE","14.0","14.00000","","","DHS "
"SDGIPV","PUBLISHED","2015-2016","SEAR","","MMR","AGE25-29","FMLE","13.3","13.30000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE45-49","FMLE","21.9","21.90000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE40-44","FMLE","22.5","22.50000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE15-19","FMLE","37.8","37.80000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE30-34","FMLE","28.6","28.60000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE35-39","FMLE","26.5","26.50000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE15-49","FMLE","27.9","27.90000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE25-29","FMLE","29.0","29.00000","","","DHS "
"SDGIPV","PUBLISHED","2016-2017","AFR","","BDI","AGE20-24","FMLE","34.4","34.40000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE45-49","FMLE","10.9","10.90000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE40-44","FMLE","11.1","11.10000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE15-49","FMLE","10.9","10.90000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE20-24","FMLE","9.8","9.80000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE35-39","FMLE","14.1","14.10000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE30-34","FMLE","12.8","12.80000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE15-19","FMLE","7.0","7.00000","","","DHS "
"SDGIPV","PUBLISHED","2014","WPR","","KHM","AGE25-29","FMLE","7.8","7.80000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE25-29","FMLE","32.8","32.80000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE35-39","FMLE","35.2","35.20000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE45-49","FMLE","28.2","28.20000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE15-19","FMLE","27.4","27.40000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE40-44","FMLE","31.4","31.40000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE30-34","FMLE","35.7","35.70000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE15-49","FMLE","32.7","32.70000","","","MICS "
"SDGIPV","PUBLISHED","2014","AFR","","CMR","AGE20-24","FMLE","32.8","32.80000","","","MICS "
"SDGIPV","PUBLISHED","2005","AFR","","CPV","AGE15-49","FMLE","7.8","7.80000","","","DHS "
"SDGIPV","PUBLISHED","2006","AFR","","CAF","AGE40-49","FMLE","16.3","16.30000","","","MICS "
"SDGIPV","PUBLISHED","2006","AFR","","CAF","AGE30-39","FMLE","22.4","22.40000","","","MICS "
"SDGIPV","PUBLISHED","2006","AFR","","CAF","AGE20-29","FMLE","29.9","29.90000","","","MICS "
"SDGIPV","PUBLISHED","2006","AFR","","CAF","AGE15-49","FMLE","26.3","26.30000","","","MICS "
"SDGIPV","PUBLISHED","2006","AFR","","CAF","AGE15-19","FMLE","31.8","31.80000","","","MICS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE45-49","FMLE","14.0","14.00000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE15-49","FMLE","17.5","17.50000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE35-39","FMLE","18.8","18.80000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE15-19","FMLE","14.5","14.50000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE25-29","FMLE","18.7","18.70000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE30-34","FMLE","19.7","19.70000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE40-44","FMLE","13.1","13.10000","","","DHS "
"SDGIPV","PUBLISHED","2015","AFR","","TCD","AGE20-24","FMLE","19.3","19.30000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE40-44","FMLE","14.9","14.90000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE15-19","FMLE","22.9","22.90000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE15-49","FMLE","18.4","18.40000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE20-24","FMLE","24.9","24.90000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE25-29","FMLE","18.4","18.40000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE30-34","FMLE","19.5","19.50000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE45-49","FMLE","15.1","15.10000","","","DHS "
"SDGIPV","PUBLISHED","2015","AMR","","COL","AGE35-39","FMLE","17.2","17.20000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE15-19","FMLE","3.7","3.70000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE40-44","FMLE","2.5","2.50000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE45-49","FMLE","6.0","6.00000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE15-49","FMLE","4.9","4.90000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE25-29","FMLE","5.4","5.40000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE30-34","FMLE","4.8","4.80000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE35-39","FMLE","3.3","3.30000","","","DHS "
"SDGIPV","PUBLISHED","2012","AFR","","COM","AGE20-24","FMLE","7.7","7.70000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE35-39","FMLE","30.1","30.10000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE20-24","FMLE","41.5","41.50000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE25-29","FMLE","42.1","42.10000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE45-49","FMLE","27.7","27.70000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE30-34","FMLE","38.4","38.40000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE15-19","FMLE","36.4","36.40000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE40-44","FMLE","29.8","29.80000","","","DHS "
"SDGIPV","PUBLISHED","2014","AFR","","COD","AGE15-49","FMLE","36.8","36.80000","","","DHS "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE45-49","FMLE","6.3","6.30000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE25-29","FMLE","16.7","16.70000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE20-24","FMLE","12.3","12.30000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE40-44","FMLE","6.2","6.20000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE15-19","FMLE","5.6","5.60000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE35-39","FMLE","9.2","9.20000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE15-49","FMLE","9.4","9.40000","","","The Cook Islands Family Health and Safety Study Based on definition used in the WHO multi-country study on women’s health and domestic violence; women aged 15-64"
"SDGIPV","PUBLISHED","2012","WPR","","COK","AGE30-34","FMLE","9.9","9.90000","","","The Cook Islands Family Health and Safety Study "
"SDGIPV","PUBLISHED","2012","EUR","","HRV","AGE18-49","FMLE","4.0","4.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2012","EUR","","CYP","AGE18-49","FMLE","3.0","3.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2012","EUR","","CZE","AGE18-49","FMLE","6.0","6.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2012","EUR","","DNK","AGE18-49","FMLE","7.0","7.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE35-39","FMLE","15.8","15.80000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE15-49","FMLE","16.0","16.00000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE15-19","FMLE","22.3","22.30000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE20-24","FMLE","16.8","16.80000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE25-29","FMLE","18.0","18.00000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE40-44","FMLE","13.4","13.40000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE30-34","FMLE","14.9","14.90000","","","DHS "
"SDGIPV","PUBLISHED","2013","AMR","","DOM","AGE45-49","FMLE","13.6","13.60000","","","DHS "
"SDGIPV","PUBLISHED","2011","AMR","","ECU","AGE15-49","FMLE","10.8","10.80000","","","PAHO 2018 publication Intimate Partner Violence against Women in the Americas: calculated by PAHO based on available country data from the 2011 Encuesta Nacional sobre Relaciones Familiares y Violencia de Género contra las Mujeres ~ENDIREH methodology; women aged 15+"
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE35-39","FMLE","5.0","5.00000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE30-34","FMLE","7.6","7.60000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE25-29","FMLE","5.6","5.60000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE20-24","FMLE","9.0","9.00000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE15-19","FMLE","7.0","7.00000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE15-49","FMLE","6.7","6.70000","","","PAHO 2018 publication Intimate Partner Violence against Women in the Americas: calculated by PAHO based on available country data from the Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 based on definition used in the WHO multi-country study on women’s health and domestic violence; women aged 15-64; 2017 data available but does not include age-disaggregated data"
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE45-49","FMLE","7.0","7.00000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2013-2014","AMR","","SLV","AGE40-44","FMLE","10.8","10.80000","","","Violencia Contra las Mujeres en El Salvador: Estudio poblacional 2014 "
"SDGIPV","PUBLISHED","2011","AFR","","GNQ","AGE30-39","FMLE","31.7","31.70000","","","DHS "
"SDGIPV","PUBLISHED","2011","AFR","","GNQ","AGE15-19","FMLE","56.1","56.10000","","","DHS Based on 25-49 unweighted cases"
"SDGIPV","PUBLISHED","2011","AFR","","GNQ","AGE40-49","FMLE","35.9","35.90000","","","DHS "
"SDGIPV","PUBLISHED","2011","AFR","","GNQ","AGE15-49","FMLE","43.6","43.60000","","","DHS "
"SDGIPV","PUBLISHED","2011","AFR","","GNQ","AGE25-29","FMLE","58.5","58.50000","","","DHS "
"SDGIPV","PUBLISHED","2011","AFR","","GNQ","AGE20-24","FMLE","56.8","56.80000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE35-39","FMLE","18.1","18.10000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE30-34","FMLE","18.3","18.30000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE15-19","FMLE","24.3","24.30000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE15-49","FMLE","19.8","19.80000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE25-29","FMLE","20.3","20.30000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE40-44","FMLE","17.7","17.70000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE20-24","FMLE","23.1","23.10000","","","DHS "
"SDGIPV","PUBLISHED","2016","AFR","","ETH","AGE45-49","FMLE","18.9","18.90000","","","DHS "
"SDGIPV","PUBLISHED","2012","EUR","","EST","AGE18-49","FMLE","4.0","4.00000","","","calculated by FRA based on available country data from the 2012 FRA Violence against women: an EU-wide Survey  Women aged 18-74; observations based on fewer than 30 responses; definition of physical and sexual violence differs from the standard"
"SDGIPV","PUBLISHED","2010-2011","WPR","","FJI","AGE25-29","FMLE","41.6","41.60000","","","National Research on Women's Health and Life Experiences in Fiji (2010/2011) "
"SDGIPV","PUBLISHED","2010-2011","WPR","","FJI","AGE45-49","FMLE","16.3","16.30000","","","National Research on Women's Health and Life Experiences in Fiji (2010/2011) "
